Richiesta Utente;Risposta SQL Attesa
Mostrami tutte le transazioni di tipo 'Bolli'.; SELECT * FROM "bm-db-prototype"."input" WHERE Tipologia = 'Bolli' LIMIT 10;
Quali servizi sono stati offerti per le transazioni di 'Noleggio'?; SELECT DISTINCT Servizio FROM "bm-db-prototype"."input" WHERE Tipologia = 'Noleggio';
Elenca tutte le transazioni effettuate negli ultimi 3 mesi.; SELECT * FROM "bm-db-prototype"."input" WHERE Data >= DATE_SUB(CURRENT_DATE, INTERVAL 3 MONTH);
Quante transazioni di 'Lavaggio PickUp' ci sono?; SELECT COUNT(*) FROM "bm-db-prototype"."input" WHERE Tipologia = 'Lavaggio PickUp';
Mostrami l'importo totale delle transazioni di tipo 'Noleggio'.; SELECT SUM(Importo pieno) FROM "bm-db-prototype"."input" WHERE Tipologia = 'Noleggio';
Quali sono i fornitori utilizzati per i servizi di 'Lavaggio PickUp'?; SELECT DISTINCT Fornitore FROM "bm-db-prototype"."input" WHERE Tipologia = 'Lavaggio PickUp';
Mostrami le transazioni con un importo superiore a 100 euro.; SELECT * FROM "bm-db-prototype"."input" WHERE "Importo pieno" > 100;
Elenca tutte le transazioni del fornitore 'FornitoreA'.; SELECT * FROM "bm-db-prototype"."input" WHERE Fornitore = 'FornitoreA';
Qual è il servizio più comune per le transazioni di 'Bolli'?; SELECT Servizio, COUNT(*) FROM "bm-db-prototype"."input" WHERE Tipologia = 'Bolli' GROUP BY Servizio ORDER BY COUNT(*) DESC LIMIT 1;
Quali transazioni sono state effettuate il 2024-01-15?; SELECT * FROM "bm-db-prototype"."input" WHERE Data = '2024-01-15';
Mostrami le transazioni di 'Noleggio' ordinate per importo decrescente.; SELECT * FROM "bm-db-prototype"."input" WHERE Tipologia = 'Noleggio' ORDER BY "Importo pieno" DESC;
Quante transazioni sono state effettuate ogni mese negli ultimi 3 mesi?; SELECT DATE_TRUNC('month', Data) AS mese, COUNT(*) FROM "bm-db-prototype"."input" WHERE Data >= DATE_SUB(CURRENT_DATE, INTERVAL 3 MONTH) GROUP BY mese ORDER BY mese;
Qual è l'importo medio delle transazioni di 'Lavaggio PickUp'?; SELECT AVG("Importo pieno") FROM "bm-db-prototype"."input" WHERE Tipologia = 'Lavaggio PickUp';
Mostrami tutte le transazioni con modalità 'online'.; SELECT * FROM "bm-db-prototype"."input" WHERE Modo = 'online';
Quali sono le tipologie di transazione disponibili?; SELECT DISTINCT Tipologia FROM "bm-db-prototype"."input";
Elenca le transazioni tra il 2024-01-01 e il 2024-03-31.; SELECT * FROM "bm-db-prototype"."input" WHERE Data BETWEEN '2024-01-01' AND '2024-03-31';
Quante transazioni ha effettuato 'FornitoreB'?; SELECT COUNT(*) FROM "bm-db-prototype"."input" WHERE Fornitore = 'FornitoreB';
Mostrami tutte le transazioni con un importo esatto di 50 euro.; SELECT * FROM "bm-db-prototype"."input" WHERE "Importo pieno" = 50;
Elenca le transazioni di 'Bolli' che superano i 200 euro.; SELECT * FROM "bm-db-prototype"."input" WHERE Tipologia = 'Bolli' AND "Importo pieno" > 200;
Qual è l'importo totale delle transazioni effettuate da 'FornitoreC'?; SELECT SUM("Importo pieno") FROM "bm-db-prototype"."input" WHERE Fornitore = 'FornitoreC';
Mostrami le transazioni senza un fornitore specificato.; SELECT * FROM "bm-db-prototype"."input" WHERE Fornitore IS NULL;
Quali transazioni sono state effettuate il 2024-02-20 con servizio 'ServizioX'?; SELECT * FROM "bm-db-prototype"."input" WHERE Data = '2024-02-20' AND Servizio = 'ServizioX';
Elenca i fornitori che hanno effettuato transazioni di 'Noleggio'.; SELECT DISTINCT Fornitore FROM "bm-db-prototype"."input" WHERE Tipologia = 'Noleggio';
Quante transazioni ci sono per ogni tipo di servizio?; SELECT Servizio, COUNT(*) FROM "bm-db-prototype"."input" GROUP BY Servizio;
Qual è la transazione con l'importo più alto?; SELECT * FROM "bm-db-prototype"."input" ORDER BY "Importo pieno" DESC LIMIT 1;
Mostrami tutte le transazioni della settimana scorsa.; SELECT * FROM "bm-db-prototype"."input" t WHERE t."Data" BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 1 WEEK) AND CURRENT_DATE LIMIT 10;
Qual è il tipo di transazione meno comune?; SELECT Tipologia, COUNT(*) FROM "bm-db-prototype"."input" GROUP BY Tipologia ORDER BY COUNT(*) ASC LIMIT 1;
Elenca tutte le transazioni di 'Lavaggio PickUp' ordinate per data.; SELECT * FROM "bm-db-prototype"."input" WHERE Tipologia = 'Lavaggio PickUp' ORDER BY Data;
